person_id,canonical_name,level,status
P0018,Rostam Khan Gharagozloo,silver,complete_for_source
P0028,Abdollah Khan Sarem al-Saltaneh,silver,complete_for_source
P0013,Nabi Khan Gharagozloo,silver,complete_for_source
P0062,Fazlollah Khan Gharagozloo,silver,complete_for_source
P0020,Ali-Naqi Khan Gharagozloo,silver,complete_for_source
P0019,Ali Khan Nosrat al-Molk,silver,complete_for_source
P0022,Mohammad-Hossein Khan Hesam al-Molk,silver,complete_for_source
P0023,Zeyn al-Abedin Khan Amir Afkham,silver,complete_for_source
P0024,Gholamreza Khan Ehtesham al-Dowleh,silver,complete_for_source
